src_comp_id,src_comp,dst_comp_id,dst_comp,src_port,dst_port,start_time,duration,byte_count,num_connections
1,C1065,2,C3799,389,N10451,1,0,5323,1
1,C1065,72,C2475,389,N10383,6,0,620,1
1,C1065,131,C980,445,N10615,14,13,1653,1
1,C1065,135,C3662,N17,N17,15,0,120,1
1,C1065,138,C1277,445,N10620,15,12,1653,1
1,C1065,135,C3662,445,N5657,15,2,1476,1
1,C1065,183,C5713,389,N10892,23,0,117,1
1,C1065,220,C5753,389,N10931,28,0,191,1
1,C1065,220,C5753,389,N10933,28,0,117,1
1,C1065,344,C354,445,N10945,52,76,149804,2
1,C1065,2,C3799,N17,N17,54,0,240,2
1,C1065,2,C3799,445,N10844,54,11,2418,1
1,C1065,157,C1508,445,N5712,56,0,138,3
1,C1065,439,C3947,135,N5618,67,30,520,1
1,C1065,439,C3947,N197,N6101,67,30,516,1
1,C1065,443,C1095,389,N1056,68,5,20710,3
1,C1065,443,C1095,389,N609,69,9,138,2
1,C1065,455,C2908,N17,N17,71,0,240,4
1,C1065,458,C4858,389,N11216,74,0,204,1
1,C1065,458,C4858,138,138,75,11,1296,2
1,C1065,91,C3405,389,N10899,83,0,1825,1
1,C1065,91,C3405,389,N2569,83,0,4221,1
1,C1065,91,C3405,389,N55,83,0,1825,1
1,C1065,183,C5713,389,N11251,83,0,117,1
1,C1065,220,C5753,389,N11305,88,0,191,1
1,C1065,220,C5753,389,N11306,88,0,117,1
1,C1065,607,C274,445,N10991,91,10,2359,1
1,C1065,463,C3912,135,N1908,91,12,800,1
1,C1065,463,C3912,445,N4399,91,12,601564,1
1,C1065,463,C3912,N17,N17,91,12,240,1
1,C1065,463,C3912,N197,N11011,91,12,436,1
1,C1065,658,C1205,389,N10987,96,2,12664,2
1,C1065,255,C1845,445,N3804,99,14,1653,1
1,C1065,463,C3912,135,N4405,102,20,520,1
1,C1065,463,C3912,N197,N5340,102,20,548,1
1,C1065,463,C3912,445,N3885,103,11,17246,1
1,C1065,443,C1095,389,N11387,107,0,117,1
1,C1065,692,C958,88,N10313,108,0,1564,1
1,C1065,692,C958,88,N10315,108,0,360,1
1,C1065,812,C4100,88,N11065,110,0,1756,1
1,C1065,828,C4444,389,N7777,116,0,193,1
1,C1065,828,C4444,N17,N17,116,0,360,3
1,C1065,828,C4444,389,N10959,116,1,34486,1
1,C1065,828,C4444,389,N5639,116,1,846,1
1,C1065,828,C4444,445,N11175,116,11,83049,1
1,C1065,828,C4444,135,N7286,116,30,432,1
1,C1065,828,C4444,N72,N7287,116,30,1580,1
1,C1065,533,C602,389,N11464,119,0,193,1
1,C1065,533,C602,88,N5296,119,0,1600,1
1,C1065,533,C602,88,N5686,119,0,361,1
1,C1065,533,C602,445,N2135,119,25,83449,9
1,C1065,72,C2475,389,N9158,126,0,620,1
1,C1065,317,C719,445,N11272,130,12,2359,1
1,C1065,828,C4444,389,N4973,139,0,5369,1
1,C1065,898,C4131,N17,N17,139,0,240,2
1,C1065,898,C4131,445,N144,139,10,2418,1
1,C1065,903,C5672,389,N11600,141,0,117,1
1,C1065,906,C739,445,N3314,141,16,1653,1
1,C1065,183,C5713,389,N11601,143,0,117,1
1,C1065,140,C4835,389,N11295,146,0,827,1
1,C1065,140,C4835,389,N25,146,0,7018,2
1,C1065,220,C5753,389,N11652,148,0,191,1
1,C1065,220,C5753,389,N4951,148,0,117,1
1,C1065,935,C5008,389,N11678,156,0,193,1
1,C1065,941,C1000,389,N1010,164,0,3174,1
1,C1065,941,C1000,389,N11398,164,0,1865,1
1,C1065,941,C1000,389,N11702,164,0,193,1
1,C1065,941,C1000,389,N3470,164,0,1855,1
1,C1065,941,C1000,389,N5443,164,0,4241,1
1,C1065,287,C5151,389,N8742,167,0,193,1
1,C1065,287,C5151,135,N9940,167,30,800,1
1,C1065,287,C5151,N197,N9094,167,30,436,1
1,C1065,287,C5151,135,N11581,170,27,3320,1
1,C1065,287,C5151,N197,N10685,170,27,3556,1
1,C1065,220,C5753,389,N3438,173,123,1607144,6
1,C1065,458,C4858,389,N11751,175,0,193,1
1,C1065,458,C4858,389,N11756,175,0,193,1
1,C1065,458,C4858,N72,N11471,175,0,140,1
1,C1065,458,C4858,N72,N11472,175,0,140,1
1,C1065,458,C4858,N72,N352,175,0,140,1
1,C1065,458,C4858,N72,N8621,175,0,140,1
1,C1065,458,C4858,135,N11499,175,28,1392,1
1,C1065,458,C4858,N72,N1893,176,0,140,1
1,C1065,458,C4858,N72,N8335,176,0,140,1
1,C1065,1078,C5741,389,N11829,181,0,117,1
1,C1065,104,C1467,445,N1605,192,0,2359,2
1,C1065,1118,C1098,389,N11896,197,0,193,1
1,C1065,287,C5151,389,N10686,201,0,193,1
1,C1065,287,C5151,88,N2284,201,0,2208,1
1,C1065,183,C5713,389,N11907,203,0,117,1
1,C1065,220,C5753,389,N11951,208,0,191,1
1,C1065,220,C5753,389,N11952,208,0,117,1
1,C1065,220,C5753,389,N11982,216,0,117,1
1,C1065,220,C5753,389,N8669,216,0,191,1
1,C1065,828,C4444,445,N11808,226,11,2073,1
1,C1065,1111,C4515,389,N6296,245,0,193,1
1,C1065,1111,C4515,88,N11833,245,0,1892,2
1,C1065,1111,C4515,88,N12127,245,0,1391,1
1,C1065,1111,C4515,88,N6301,245,0,124,1
1,C1065,1260,C4513,N17,N17,245,0,240,2
1,C1065,1260,C4513,445,N3492,245,10,2418,1
1,C1065,1262,C827,445,N1964,245,14,1653,1
1,C1065,72,C2475,389,N11877,246,0,3008,1
1,C1065,183,C5713,389,N12191,263,0,117,1
1,C1065,1290,C3093,N17,N17,264,0,120,1
1,C1065,1290,C3093,445,N45,264,12,1397,1
1,C1065,220,C5753,389,N12214,268,0,191,1
1,C1065,220,C5753,389,N12215,268,0,117,1
1,C1065,824,C4618,N17,N17,275,0,240,2
1,C1065,824,C4618,445,N12061,275,22,4736,2
1,C1065,961,C2131,389,N12258,282,0,193,1
1,C1065,961,C2131,N17,N17,282,1,406,3
1,C1065,961,C2131,389,N4177,283,0,800,1
1,C1065,961,C2131,389,N6150,283,0,30884,1
1,C1065,961,C2131,445,N12092,283,11,2182,1
1,C1065,961,C2131,135,N2730,283,30,624,1
1,C1065,961,C2131,N72,N4489,283,30,1777,1
1,C1065,525,C3865,135,N2540,284,15,884,1
1,C1065,525,C3865,N197,N4600,284,15,1888,1
1,C1065,1326,C2784,139,N12026,287,0,3757,1
1,C1065,1326,C2784,139,N4837,287,0,3061,1
1,C1065,1326,C2784,445,N12027,287,0,48,1
1,C1065,1326,C2784,N17,N17,287,0,480,4
1,C1065,1281,C2827,389,N12116,298,0,14014,2
1,C1065,102,C4232,389,N12376,307,0,193,1
1,C1065,102,C4232,88,N12375,307,0,1424,1
1,C1065,102,C4232,88,N12377,307,0,1454,1
1,C1065,957,C1260,445,N3612,307,11,1653,1
1,C1065,961,C2131,389,N12140,312,0,5369,1
1,C1065,183,C5713,389,N12441,323,0,117,1
1,C1065,183,C5713,389,N12442,323,0,191,1
1,C1065,220,C5753,389,N12480,328,0,117,1
1,C1065,220,C5753,389,N12483,328,0,191,1
1,C1065,956,C1119,445,N2533,356,11,1653,1
1,C1065,1251,C1420,445,N12435,364,14,1654,1
1,C1065,72,C2475,389,N12414,366,0,620,1
1,C1065,439,C3947,135,N6575,367,29,520,1
1,C1065,439,C3947,N197,N6576,367,29,516,1
1,C1065,537,C684,389,N12454,380,0,3174,1
1,C1065,537,C684,389,N12456,380,0,4241,1
1,C1065,537,C684,389,N12768,380,0,193,1
1,C1065,537,C684,389,N6633,380,0,1855,1
1,C1065,183,C5713,389,N12772,383,0,117,1
1,C1065,441,C876,445,N12532,383,12,1653,1
1,C1065,871,C831,445,N4341,383,13,1653,1
1,C1065,1401,C5902,389,N12776,385,0,193,1
1,C1065,220,C5753,389,N12801,388,0,191,1
1,C1065,220,C5753,389,N12802,388,0,117,1
1,C1065,458,C4858,N901,N564,401,0,2480,1
1,C1065,1127,C5237,389,N12889,405,0,193,1
1,C1065,1127,C5237,445,N2396,405,38,41473,1
1,C1065,1127,C5237,135,N2407,406,13,884,1
1,C1065,1127,C5237,N197,N2410,406,13,664,1
1,C1065,443,C1095,389,N12895,407,0,117,1
1,C1065,852,C2548,88,N12585,412,0,1800,1
1,C1065,516,C1923,389,N12620,415,0,7419,1
1,C1065,460,C2852,389,N12636,421,0,9440,2
1,C1065,1590,C3235,N17,N17,428,0,240,2
1,C1065,1590,C3235,445,N6482,428,24,4850,2
1,C1065,1598,C5455,135,N10698,435,0,432,2
1,C1065,1598,C5455,389,N13005,435,0,193,1
1,C1065,1598,C5455,N17,N17,435,0,406,3
1,C1065,1598,C5455,N72,N10696,435,0,1596,2
1,C1065,1598,C5455,389,N12755,435,1,800,1
1,C1065,1598,C5455,389,N806,435,1,26146,1
1,C1065,1598,C5455,445,N12793,435,12,3154,1
1,C1065,1258,C1030,123,123,437,0,96,1
1,C1065,903,C5672,389,N13033,441,0,117,1
1,C1065,903,C5672,389,N13035,441,0,191,1
1,C1065,183,C5713,389,N13036,443,0,117,1
1,C1065,220,C5753,389,N13054,448,0,117,1
1,C1065,220,C5753,389,N13060,448,0,191,1
1,C1065,862,C5154,N17,N17,460,0,240,2
1,C1065,862,C5154,445,N10958,460,11,2418,1
1,C1065,1620,C5156,N17,N17,461,0,120,1
1,C1065,1620,C5156,445,N6145,461,11,1476,1
1,C1065,115,C3238,N17,N17,467,29,512,3
1,C1065,115,C3238,445,N12929,467,3,2418,1
1,C1065,1553,C810,445,N12989,474,13,1653,1
1,C1065,1078,C5741,389,N13206,481,0,191,1
1,C1065,1078,C5741,389,N13207,481,0,117,1
1,C1065,72,C2475,389,N9833,486,0,620,1
1,C1065,115,C3238,389,N13260,493,0,193,1
1,C1065,115,C3238,135,N13117,493,30,432,1
1,C1065,115,C3238,N72,N13118,493,62,3083,2
1,C1065,115,C3238,389,N11593,494,0,800,1
1,C1065,115,C3238,389,N13026,494,0,45426,2
1,C1065,868,C2493,N17,N17,494,1,406,3
1,C1065,868,C2493,445,N13074,494,10,2418,1
1,C1065,115,C3238,445,N11597,494,22,4281,2
1,C1065,1650,C5281,N17,N17,502,0,240,2
1,C1065,1650,C5281,445,N10540,502,11,2418,1
1,C1065,183,C5713,389,N13289,503,0,117,1
1,C1065,220,C5753,389,N13300,508,0,191,1
1,C1065,220,C5753,389,N13301,508,0,117,1
1,C1065,1655,C5292,N17,N17,508,0,240,2
1,C1065,1655,C5292,445,N3615,508,10,2418,1
1,C1065,1070,C2461,445,N13257,512,37,16822,1
1,C1065,1667,C5315,N17,N17,521,0,240,2
1,C1065,1667,C5315,445,N13133,521,5,2418,1
1,C1065,530,C50,445,N13223,533,11,1653,1
1,C1065,1093,C3143,445,N13265,540,13,1653,1
1,C1065,1230,C768,389,N13473,544,0,193,1
1,C1065,1230,C768,N901,N13231,544,0,3993,1
1,C1065,1230,C768,N901,N13232,544,0,1969,1
1,C1065,1230,C768,N901,N13239,544,0,2055,1
1,C1065,1230,C768,N901,N11220,550,0,2055,1
1,C1065,1230,C768,N901,N11222,550,0,1605,1
1,C1065,1230,C768,N901,N13236,550,0,1969,1
1,C1065,3,C1423,445,N13327,555,22,2984,2
1,C1065,183,C5713,389,N13535,563,0,117,1
1,C1065,220,C5753,389,N13555,568,0,191,1
1,C1065,220,C5753,389,N13556,568,0,117,1
1,C1065,966,C4223,N17,N17,573,45,226,2
1,C1065,966,C4223,445,N13390,573,6,2418,1
1,C1065,272,C484,445,N4449,584,14,1653,1
1,C1065,1598,C5455,445,N13469,586,11,2418,1
1,C1065,72,C2475,389,N13503,606,0,1037,2
1,C1065,183,C5713,389,N13825,623,0,117,1
1,C1065,220,C5753,389,N13839,628,0,191,1
1,C1065,220,C5753,389,N13841,628,0,117,1
1,C1065,767,C49,445,N13618,629,11,1653,1
1,C1065,1243,C8,389,N13880,631,0,193,1
1,C1065,1243,C8,135,N203,631,13,884,1
1,C1065,1243,C8,N197,N200,631,13,664,1
1,C1065,284,C1142,445,N13680,633,30,3016,2
1,C1065,1747,C3198,445,N13635,634,10,1653,1
1,C1065,961,C2131,445,N12304,636,12,2418,1
1,C1065,759,C3784,445,N13751,642,16,2359,1
1,C1065,1780,C4352,N17,N17,658,0,240,2
1,C1065,1780,C4352,445,N5300,658,10,2418,1
1,C1065,439,C3947,135,N7029,667,29,520,1
1,C1065,439,C3947,N197,N7030,667,29,516,1
1,C1065,443,C1095,389,N14107,669,1,13856,4
1,C1065,443,C1095,389,N14109,669,1,9487,4
1,C1065,137,C1905,N17,N17,670,0,240,2
1,C1065,137,C1905,445,N11066,670,24,4570,2
1,C1065,321,C5778,389,N14115,671,0,193,1
1,C1065,321,C5778,389,N14160,674,0,193,1
1,C1065,1281,C2827,389,N13828,681,0,1855,1
1,C1065,1281,C2827,389,N13836,681,0,4241,1
1,C1065,1281,C2827,389,N13834,681,1,3174,1
1,C1065,726,C150,389,N14190,682,0,193,1
1,C1065,726,C150,88,N13848,682,0,2598,1
1,C1065,183,C5713,389,N14192,683,0,117,1
1,C1065,220,C5753,389,N14215,688,0,191,1
1,C1065,220,C5753,389,N14219,688,0,117,1
1,C1065,952,C4287,389,N10398,699,0,1779,1
1,C1065,952,C4287,389,N13960,699,0,1779,1
1,C1065,952,C4287,389,N9310,699,0,4175,1
1,C1065,443,C1095,389,N14332,707,0,117,1
1,C1065,537,C684,389,N825,708,0,7419,1
1,C1065,111,C161,389,N1485,712,0,193,1
1,C1065,111,C161,389,N14024,712,1,3174,1
1,C1065,111,C161,389,N14034,713,0,7909,2
1,C1065,111,C161,389,N14035,713,0,1855,1
1,C1065,1281,C2827,389,N14080,725,0,8756,2
1,C1065,72,C2475,389,N8690,726,0,620,1
1,C1065,157,C1508,445,N1009,736,40,16530,1
1,C1065,903,C5672,389,N14541,741,0,117,1
1,C1065,183,C5713,389,N14543,743,0,117,1
1,C1065,220,C5753,389,N14567,748,0,191,1
1,C1065,220,C5753,389,N14568,748,0,117,1
1,C1065,183,C5713,389,N14585,751,0,117,1
1,C1065,1866,C920,445,N7558,751,13,1653,1
1,C1065,1872,C1843,N17,N17,761,0,180,3
1,C1065,1872,C1843,445,N12758,761,11,2418,1
1,C1065,460,C2852,N17,N17,762,0,240,2
1,C1065,460,C2852,445,N14369,762,22,4570,2
1,C1065,1874,C2902,N17,N17,763,0,240,2
1,C1065,1874,C2902,445,N14382,763,12,2418,1
1,C1065,1078,C5741,389,N14708,781,0,117,1
1,C1065,1872,C1843,135,N13923,783,0,544,2
1,C1065,1872,C1843,389,N14273,783,0,193,1
1,C1065,1872,C1843,N197,N13915,783,0,1340,2
1,C1065,1742,C5542,389,N2261,789,0,1835,1
1,C1065,1742,C5542,389,N12545,790,0,1779,1
1,C1065,1742,C5542,389,N2104,790,0,1779,1
1,C1065,1590,C3235,389,N14767,799,0,191,1
1,C1065,183,C5713,389,N14788,803,0,117,1
1,C1065,1326,C2784,445,N5657,804,11,2418,1
1,C1065,255,C1845,389,N14825,805,0,193,1
1,C1065,255,C1845,389,N14826,805,0,193,1
1,C1065,255,C1845,389,N14828,805,0,193,1
1,C1065,255,C1845,88,N13484,805,0,3260,1
1,C1065,255,C1845,135,N9100,805,12,460,1
1,C1065,255,C1845,389,N14573,805,2,24698,1
1,C1065,255,C1845,N72,N9097,805,32,1464,1
1,C1065,255,C1845,389,N14059,806,0,1855,1
1,C1065,255,C1845,389,N1712,806,0,788,1
1,C1065,255,C1845,389,N2627,806,0,4241,1
1,C1065,255,C1845,88,N14576,806,0,3260,1
1,C1065,255,C1845,445,N14633,806,15,1951,1
1,C1065,220,C5753,389,N14832,808,0,117,1
1,C1065,220,C5753,389,N3756,808,0,191,1
1,C1065,272,C484,389,N14894,818,0,193,1
1,C1065,272,C484,135,N14661,818,12,504,1
1,C1065,272,C484,389,N967,818,2,31616,1
1,C1065,272,C484,N72,N14744,818,32,1552,1
1,C1065,272,C484,445,N14781,818,76,78377,2
1,C1065,1401,C5902,389,N14895,820,0,193,1
1,C1065,726,C150,88,N14722,842,0,1782,1
1,C1065,1693,C355,389,N14960,844,0,193,1
1,C1065,1693,C355,389,N4171,844,0,7419,1
1,C1065,1230,C768,N901,N14714,844,0,1605,1
1,C1065,1230,C768,N901,N14715,844,0,2055,1
1,C1065,1230,C768,N901,N706,844,0,1923,1
1,C1065,72,C2475,389,N9707,846,0,620,1
1,C1065,1932,C3914,135,N14883,846,30,520,1
1,C1065,1932,C3914,N197,N14884,846,30,532,1
1,C1065,1891,C2393,389,N9936,850,0,4129,1
1,C1065,1891,C2393,389,N9937,850,0,1733,1
1,C1065,1891,C2393,389,N9938,850,0,1733,1
1,C1065,1230,C768,N901,N14743,850,0,1969,1
1,C1065,1230,C768,N901,N8185,850,0,1605,1
1,C1065,1230,C768,N901,N8186,850,0,2055,1
1,C1065,1891,C2393,389,N9939,851,0,1743,1
1,C1065,1070,C2461,445,N14969,862,41,82140,1
1,C1065,183,C5713,389,N15037,863,0,117,1
1,C1065,220,C5753,389,N15044,868,0,191,1
1,C1065,220,C5753,389,N15046,868,0,117,1
1,C1065,1732,C3457,389,N15091,874,0,193,1
1,C1065,1732,C3457,88,N15089,874,0,1412,1
1,C1065,1732,C3457,88,N15090,874,0,1431,1
1,C1065,1732,C3457,N17,N17,874,0,240,2
1,C1065,1732,C3457,445,N4811,874,11,2418,1
1,C1065,1326,C2784,139,N5328,888,0,48,1
1,C1065,1326,C2784,139,N5658,888,0,48,1
1,C1065,1326,C2784,445,N4021,888,0,3757,1
1,C1065,1326,C2784,445,N5664,888,0,3061,1
1,C1065,894,C4722,389,N11954,903,0,4221,1
1,C1065,894,C4722,389,N13713,903,0,1779,1
1,C1065,894,C4722,389,N14990,903,1,1825,1
1,C1065,894,C4722,389,4094,904,0,3420,2
1,C1065,894,C4722,389,N13295,904,0,1825,1
1,C1065,894,C4722,389,N13474,904,0,1835,1
1,C1065,1891,C2393,389,N13492,905,0,1835,1
1,C1065,1891,C2393,389,N14961,905,0,1779,1
1,C1065,1891,C2393,389,N14962,905,0,1779,1
1,C1065,441,C876,445,N15049,907,16,2265,1
1,C1065,131,C980,445,N15048,914,13,1653,1
1,C1065,138,C1277,445,N7559,915,12,1653,1
1,C1065,183,C5713,389,N15245,923,0,117,1
1,C1065,220,C5753,389,N15274,928,0,117,1
1,C1065,220,C5753,389,N5817,928,0,191,1
1,C1065,1606,C372,389,N15315,936,0,193,1
1,C1065,1606,C372,135,N7573,936,10,884,1
1,C1065,1606,C372,N197,N7574,936,10,664,1
1,C1065,111,C161,389,N11405,940,0,788,1
1,C1065,111,C161,389,N11447,940,0,1855,1
1,C1065,111,C161,389,N11456,940,0,1855,1
1,C1065,819,C2882,445,N15170,946,12,2159,1
1,C1065,2,C3799,445,N10899,954,11,2418,1
1,C1065,1124,C1543,389,N15384,955,0,193,1
1,C1065,894,C4722,389,N14140,961,0,1825,1
1,C1065,894,C4722,389,N14142,961,0,1825,1
1,C1065,894,C4722,389,N14863,961,0,1835,1
1,C1065,72,C2475,389,N14533,966,0,620,1
1,C1065,439,C3947,135,N8100,967,30,520,1
1,C1065,439,C3947,N197,N8663,967,30,516,1
1,C1065,1872,C1843,389,N15490,980,0,193,1
1,C1065,1872,C1843,445,N577,981,11,5591,1
1,C1065,183,C5713,389,N15511,983,0,117,1
1,C1065,220,C5753,389,N15520,988,0,191,1
1,C1065,220,C5753,389,N5816,988,0,117,1
1,C1065,1452,C992,389,N7937,989,0,6981,1
1,C1065,1452,C992,88,N13707,989,0,1764,1
1,C1065,1452,C992,88,N13743,989,0,1910,2
1,C1065,1452,C992,88,N13744,989,0,360,1
1,C1065,1452,C992,88,N15285,989,0,1756,1
1,C1065,458,C4858,389,N15578,995,0,204,1
1,C1065,255,C1845,445,N1633,999,14,1653,1
1,C1065,443,C1095,389,N11972,1007,0,191,1
1,C1065,443,C1095,389,N15605,1007,0,117,1
1,C1065,1946,C3100,445,N9975,1014,29,4684,1
1,C1065,898,C4131,445,N2952,1039,10,2418,1
1,C1065,903,C5672,389,N15734,1041,0,117,1
1,C1065,906,C739,445,N15554,1041,16,1653,1
